code,date,open,high,low,close,volume,amount,name
600460,2023-05-23,33.2,33.2,32.75,32.76,8664900.0,0.0,士兰微
600460,2023-05-24,32.6,33.22,32.38,32.76,10588600.0,0.0,士兰微
600460,2023-05-25,32.82,33.07,32.7,33.05,9648300.0,0.0,士兰微
600460,2023-05-26,33.05,33.41,32.87,33.32,11323600.0,0.0,士兰微
600460,2023-05-29,33.34,33.58,32.82,32.85,13107300.0,0.0,士兰微
600460,2023-05-30,32.75,32.77,30.44,31.68,32494400.0,0.0,士兰微
600460,2023-05-31,31.4,32.73,31.33,31.95,20294800.0,0.0,士兰微
600460,2023-06-01,31.95,32.38,31.18,31.97,16135400.0,0.0,士兰微
600460,2023-06-02,32.08,32.46,31.73,32.2,13019700.0,0.0,士兰微
600460,2023-06-05,32.15,32.65,31.86,31.94,12573800.0,0.0,士兰微
600460,2023-06-06,31.75,31.75,30.65,30.78,16014400.0,0.0,士兰微
600460,2023-06-07,30.78,31.07,30.28,30.37,12907000.0,0.0,士兰微
600460,2023-06-08,30.3,30.3,29.73,29.92,13139700.0,0.0,士兰微
600460,2023-06-09,29.88,30.12,29.4,30.12,18198900.0,0.0,士兰微
600460,2023-06-12,30.12,30.22,29.8,29.88,12204800.0,0.0,士兰微
600460,2023-06-13,29.89,30.68,29.66,30.65,17602700.0,0.0,士兰微
600460,2023-06-14,30.59,30.65,30.26,30.46,10816600.0,0.0,士兰微
600460,2023-06-15,30.41,30.85,30.38,30.77,12707200.0,0.0,士兰微
600460,2023-06-16,30.65,31.16,30.58,31.14,13317000.0,0.0,士兰微
600460,2023-06-19,31.14,31.29,30.82,30.93,15084000.0,0.0,士兰微
600460,2023-06-20,30.92,31.74,30.83,31.49,21950700.0,0.0,士兰微
600460,2023-06-21,31.35,31.42,30.34,30.35,14889600.0,0.0,士兰微
600460,2023-06-26,30.19,30.6,29.68,29.97,13702500.0,0.0,士兰微
600460,2023-06-27,29.98,30.31,29.88,30.05,7904500.0,0.0,士兰微
600460,2023-06-28,30.1,30.13,29.2,29.64,13099900.0,0.0,士兰微
600460,2023-06-29,29.6,30.15,29.5,29.72,10760800.0,0.0,士兰微
600460,2023-06-30,29.61,30.52,29.5,30.27,14031000.0,0.0,士兰微
600460,2023-07-03,30.3,30.87,30.3,30.52,10382200.0,0.0,士兰微
600460,2023-07-04,30.76,32.15,30.53,31.76,30256900.0,0.0,士兰微
600460,2023-07-05,31.57,31.92,31.32,31.37,15143400.0,0.0,士兰微
600460,2023-07-06,31.29,31.72,31.11,31.22,10788800.0,0.0,士兰微
600460,2023-07-07,31.02,31.04,30.51,30.73,9486300.0,0.0,士兰微
600460,2023-07-10,30.97,31.16,30.8,30.93,7658600.0,0.0,士兰微
600460,2023-07-11,30.91,31.5,30.88,31.39,11628800.0,0.0,士兰微
600460,2023-07-12,31.38,31.5,30.66,30.74,11252700.0,0.0,士兰微
600460,2023-07-13,30.77,31.6,30.77,31.48,16341700.0,0.0,士兰微
600460,2023-07-14,31.57,31.67,31.12,31.21,12007900.0,0.0,士兰微
600460,2023-07-17,30.3,30.86,29.69,30.7,17388000.0,0.0,士兰微
600460,2023-07-18,30.78,31.5,30.75,30.87,15369700.0,0.0,士兰微
600460,2023-07-19,30.77,31.13,30.4,30.69,8989300.0,0.0,士兰微
600460,2023-07-20,30.69,30.87,30.07,30.2,9012400.0,0.0,士兰微
600460,2023-07-21,30.22,30.62,29.87,29.91,10762700.0,0.0,士兰微
600460,2023-07-24,29.8,30.07,29.48,29.62,9114600.0,0.0,士兰微
600460,2023-07-25,29.91,30.38,29.81,30.3,10254400.0,0.0,士兰微
600460,2023-07-26,30.38,30.38,30.0,30.14,6884500.0,0.0,士兰微
600460,2023-07-27,30.18,30.3,29.82,29.9,6921000.0,0.0,士兰微
600460,2023-07-28,29.82,30.36,29.63,30.27,11197600.0,0.0,士兰微
600460,2023-07-31,30.27,30.95,30.17,30.63,15174700.0,0.0,士兰微
600460,2023-08-01,30.63,30.93,30.4,30.61,11999700.0,0.0,士兰微
600460,2023-08-02,30.49,30.69,30.26,30.35,8592600.0,0.0,士兰微
600460,2023-08-03,30.29,30.56,30.07,30.45,8070300.0,0.0,士兰微
600460,2023-08-04,30.49,30.75,29.91,30.1,18598500.0,0.0,士兰微
600460,2023-08-07,29.92,30.08,29.67,29.72,11597200.0,0.0,士兰微
600460,2023-08-08,29.74,29.9,29.55,29.65,8754000.0,0.0,士兰微
600460,2023-08-09,29.61,29.81,29.48,29.67,6224600.0,0.0,士兰微
600460,2023-08-10,29.78,29.92,29.64,29.74,5507200.0,0.0,士兰微
600460,2023-08-11,29.73,29.78,29.3,29.31,7642200.0,0.0,士兰微
600460,2023-08-14,29.2,29.31,28.01,28.19,16955600.0,0.0,士兰微
600460,2023-08-15,28.19,28.22,26.96,27.08,19245100.0,0.0,士兰微
600460,2023-08-16,27.01,27.25,26.4,26.44,17243100.0,0.0,士兰微
600460,2023-08-17,26.44,26.73,26.17,26.61,10814400.0,0.0,士兰微
600460,2023-08-18,26.62,26.78,25.57,25.58,15906900.0,0.0,士兰微
600460,2023-08-21,25.5,25.78,25.11,25.13,13011500.0,0.0,士兰微
600460,2023-08-22,25.3,25.42,24.15,24.93,26997700.0,0.0,士兰微
