code,date,open,high,low,close,volume,amount,name
300148,2023-05-23,4.94,4.96,4.68,4.7,49711400.0,0.0,天舟文化
300148,2023-05-24,4.71,4.75,4.58,4.68,76866200.0,0.0,天舟文化
300148,2023-05-25,4.66,4.8,4.46,4.55,78998900.0,0.0,天舟文化
300148,2023-05-26,4.5,4.55,4.39,4.49,76495900.0,0.0,天舟文化
300148,2023-05-29,4.5,4.71,4.47,4.61,122924100.0,0.0,天舟文化
300148,2023-05-30,4.6,5.38,4.5,5.18,226659200.0,0.0,天舟文化
300148,2023-05-31,5.16,5.17,4.91,4.96,148695300.0,0.0,天舟文化
300148,2023-06-01,4.94,5.39,4.93,5.28,181921700.0,0.0,天舟文化
300148,2023-06-02,5.33,5.59,5.25,5.28,154052000.0,0.0,天舟文化
300148,2023-06-05,5.21,5.67,5.17,5.56,181236400.0,0.0,天舟文化
300148,2023-06-06,5.49,5.98,5.43,5.77,233041900.0,0.0,天舟文化
300148,2023-06-07,5.67,6.28,5.56,5.92,201833800.0,0.0,天舟文化
300148,2023-06-08,5.76,5.93,5.45,5.66,145825200.0,0.0,天舟文化
300148,2023-06-09,5.62,5.85,5.4,5.75,143230600.0,0.0,天舟文化
300148,2023-06-12,5.67,5.81,5.52,5.54,109597400.0,0.0,天舟文化
300148,2023-06-13,5.5,5.77,5.42,5.6,116308800.0,0.0,天舟文化
300148,2023-06-14,5.62,6.72,5.61,6.38,270334600.0,0.0,天舟文化
300148,2023-06-15,6.18,6.41,5.96,6.06,207330200.0,0.0,天舟文化
300148,2023-06-16,5.99,6.78,5.88,6.45,213842400.0,0.0,天舟文化
300148,2023-06-19,6.66,6.78,6.32,6.53,174982300.0,0.0,天舟文化
300148,2023-06-20,6.8,7.13,6.61,6.75,176461600.0,0.0,天舟文化
300148,2023-06-21,6.5,6.9,6.43,6.43,130795700.0,0.0,天舟文化
300148,2023-06-26,6.26,6.69,6.04,6.2,105244300.0,0.0,天舟文化
300148,2023-06-27,6.04,6.25,5.81,6.1,96061500.0,0.0,天舟文化
300148,2023-06-28,6.01,6.11,5.5,5.85,96266800.0,0.0,天舟文化
300148,2023-06-29,5.86,6.15,5.79,5.97,74320700.0,0.0,天舟文化
300148,2023-06-30,5.86,5.94,5.49,5.52,113162100.0,0.0,天舟文化
300148,2023-07-03,5.51,5.54,5.06,5.15,96159500.0,0.0,天舟文化
300148,2023-07-04,5.17,5.26,5.09,5.15,70808500.0,0.0,天舟文化
300148,2023-07-05,5.12,5.2,5.01,5.06,54023200.0,0.0,天舟文化
300148,2023-07-06,5.07,5.34,5.06,5.24,91978600.0,0.0,天舟文化
300148,2023-07-07,5.19,5.24,4.94,5.17,74565200.0,0.0,天舟文化
300148,2023-07-10,5.18,5.24,5.11,5.22,50634300.0,0.0,天舟文化
300148,2023-07-11,5.19,5.28,5.06,5.09,59163400.0,0.0,天舟文化
300148,2023-07-12,5.05,5.1,4.77,4.8,89289500.0,0.0,天舟文化
300148,2023-07-13,4.82,4.94,4.7,4.91,72880900.0,0.0,天舟文化
300148,2023-07-14,4.88,5.15,4.87,5.03,78693500.0,0.0,天舟文化
300148,2023-07-17,5.07,5.07,4.84,4.88,50246000.0,0.0,天舟文化
300148,2023-07-18,4.92,4.95,4.77,4.79,39105200.0,0.0,天舟文化
300148,2023-07-19,4.8,4.92,4.75,4.84,34379700.0,0.0,天舟文化
300148,2023-07-20,4.84,4.86,4.73,4.75,33538300.0,0.0,天舟文化
300148,2023-07-21,4.75,4.84,4.7,4.77,31991100.0,0.0,天舟文化
300148,2023-07-24,4.77,4.86,4.7,4.81,28604400.0,0.0,天舟文化
300148,2023-07-25,4.86,4.96,4.81,4.91,45908500.0,0.0,天舟文化
300148,2023-07-26,4.9,4.9,4.66,4.68,51463400.0,0.0,天舟文化
300148,2023-07-27,4.7,4.73,4.62,4.63,31752900.0,0.0,天舟文化
300148,2023-07-28,4.62,4.64,4.52,4.58,40008500.0,0.0,天舟文化
300148,2023-07-31,4.58,4.86,4.53,4.81,62127900.0,0.0,天舟文化
300148,2023-08-01,4.86,4.87,4.67,4.74,36979500.0,0.0,天舟文化
300148,2023-08-02,4.74,4.74,4.65,4.69,25391500.0,0.0,天舟文化
300148,2023-08-03,4.66,4.71,4.6,4.6,28834700.0,0.0,天舟文化
300148,2023-08-04,4.61,4.76,4.6,4.71,45311600.0,0.0,天舟文化
300148,2023-08-07,4.73,4.84,4.69,4.75,50340600.0,0.0,天舟文化
300148,2023-08-08,4.72,4.92,4.72,4.81,67433000.0,0.0,天舟文化
300148,2023-08-09,4.73,4.79,4.55,4.55,54616800.0,0.0,天舟文化
300148,2023-08-10,4.53,4.66,4.53,4.55,30020300.0,0.0,天舟文化
300148,2023-08-11,4.56,4.62,4.41,4.43,34466800.0,0.0,天舟文化
300148,2023-08-14,4.4,4.53,4.36,4.53,30930600.0,0.0,天舟文化
300148,2023-08-15,4.52,4.54,4.39,4.43,24937900.0,0.0,天舟文化
300148,2023-08-16,4.43,4.46,4.31,4.34,27144500.0,0.0,天舟文化
300148,2023-08-17,4.31,4.42,4.3,4.39,23192000.0,0.0,天舟文化
300148,2023-08-18,4.4,4.43,4.24,4.25,27443900.0,0.0,天舟文化
300148,2023-08-21,4.21,4.34,4.18,4.25,23204400.0,0.0,天舟文化
300148,2023-08-22,4.26,4.39,4.25,4.39,34748300.0,0.0,天舟文化
300148,2023-08-23,4.37,4.37,4.27,4.29,22605600.0,0.0,天舟文化
300148,2023-08-24,4.3,4.44,4.3,4.37,35975900.0,0.0,天舟文化
300148,2023-08-25,4.34,4.35,4.14,4.19,32374600.0,0.0,天舟文化
300148,2023-08-28,4.42,4.46,4.29,4.3,47405800.0,0.0,天舟文化
300148,2023-08-29,4.32,4.49,4.26,4.46,44694700.0,0.0,天舟文化
300148,2023-08-30,4.45,4.59,4.42,4.53,47370500.0,0.0,天舟文化
300148,2023-08-31,4.48,4.52,4.41,4.42,29486900.0,0.0,天舟文化
300148,2023-09-01,4.42,4.45,4.32,4.35,25568400.0,0.0,天舟文化
300148,2023-09-04,4.34,4.38,4.29,4.34,28394300.0,0.0,天舟文化
300148,2023-09-05,4.32,4.36,4.27,4.29,23640500.0,0.0,天舟文化
300148,2023-09-06,4.26,4.26,4.18,4.21,27220700.0,0.0,天舟文化
300148,2023-09-07,4.23,4.41,4.19,4.19,55966300.0,0.0,天舟文化
300148,2023-09-08,4.14,4.16,4.05,4.09,43248900.0,0.0,天舟文化
300148,2023-09-11,4.09,4.25,4.05,4.21,40699800.0,0.0,天舟文化
300148,2023-09-12,4.19,4.2,4.09,4.1,29299200.0,0.0,天舟文化
300148,2023-09-13,4.08,4.11,3.99,4.04,24076100.0,0.0,天舟文化
300148,2023-09-14,4.02,4.04,3.96,3.99,18939700.0,0.0,天舟文化
300148,2023-09-15,4.0,4.05,3.98,3.99,15394700.0,0.0,天舟文化
300148,2023-09-18,3.98,4.06,3.95,4.04,16962900.0,0.0,天舟文化
300148,2023-09-19,4.02,4.03,3.93,3.94,18098300.0,0.0,天舟文化
300148,2023-09-20,3.93,3.98,3.9,3.92,13844300.0,0.0,天舟文化
300148,2023-09-21,3.94,3.97,3.89,3.89,13541300.0,0.0,天舟文化
300148,2023-09-22,3.87,4.05,3.87,4.05,34008600.0,0.0,天舟文化
300148,2023-09-25,4.04,4.1,3.95,3.98,24644400.0,0.0,天舟文化
300148,2023-09-26,3.97,4.07,3.97,4.02,21264500.0,0.0,天舟文化
300148,2023-09-27,4.0,4.06,3.97,4.01,17373100.0,0.0,天舟文化
300148,2023-09-28,4.03,4.12,4.02,4.08,23033200.0,0.0,天舟文化
300148,2023-10-09,4.09,4.09,3.97,3.98,23142900.0,0.0,天舟文化
300148,2023-10-10,3.98,4.08,3.98,4.05,20759900.0,0.0,天舟文化
300148,2023-10-11,4.04,4.27,3.98,4.17,57185400.0,0.0,天舟文化
300148,2023-10-12,4.16,4.18,4.05,4.08,40158500.0,0.0,天舟文化
300148,2023-10-13,4.06,4.08,3.96,3.97,29767000.0,0.0,天舟文化
300148,2023-10-16,3.99,4.01,3.9,3.95,24782900.0,0.0,天舟文化
300148,2023-10-17,3.95,3.95,3.84,3.89,25910600.0,0.0,天舟文化
300148,2023-10-18,3.88,3.88,3.78,3.79,19943700.0,0.0,天舟文化
300148,2023-10-19,3.79,4.17,3.78,3.97,69376000.0,0.0,天舟文化
300148,2023-10-20,3.88,3.9,3.76,3.76,45855800.0,0.0,天舟文化
300148,2023-10-23,3.74,3.79,3.64,3.66,26013300.0,0.0,天舟文化
300148,2023-10-24,3.7,3.81,3.69,3.79,27634500.0,0.0,天舟文化
300148,2023-10-25,3.8,3.88,3.79,3.88,25430600.0,0.0,天舟文化
300148,2023-10-26,3.84,3.85,3.7,3.76,31251000.0,0.0,天舟文化
300148,2023-10-27,3.74,3.79,3.69,3.78,24029900.0,0.0,天舟文化
300148,2023-10-30,3.74,3.9,3.74,3.89,32452100.0,0.0,天舟文化
300148,2023-10-31,3.9,4.09,3.9,3.96,49973900.0,0.0,天舟文化
300148,2023-11-01,3.94,4.15,3.92,4.0,46792100.0,0.0,天舟文化
300148,2023-11-02,4.03,4.24,3.98,4.14,84208100.0,0.0,天舟文化
300148,2023-11-03,4.14,4.14,4.0,4.07,54112500.0,0.0,天舟文化
300148,2023-11-06,4.1,4.33,4.1,4.33,74771900.0,0.0,天舟文化
300148,2023-11-07,4.33,4.43,4.27,4.31,79814100.0,0.0,天舟文化
300148,2023-11-08,4.32,4.5,4.28,4.43,95627700.0,0.0,天舟文化
300148,2023-11-09,4.43,4.51,4.25,4.3,77370500.0,0.0,天舟文化
300148,2023-11-10,4.25,4.29,4.11,4.14,55371900.0,0.0,天舟文化
300148,2023-11-13,4.16,4.32,4.16,4.23,51332800.0,0.0,天舟文化
