code,date,open,high,low,close,volume,amount,name
688118,2023-05-23,22.61,22.9,22.18,22.51,102206900.0,0.0,普元信息
688118,2023-05-24,22.4,22.69,21.93,22.56,137202100.0,0.0,普元信息
688118,2023-05-25,22.62,22.76,21.43,21.89,162910900.0,0.0,普元信息
688118,2023-05-26,21.96,22.66,21.84,22.55,102531600.0,0.0,普元信息
688118,2023-05-29,22.89,23.1,22.26,22.41,90486400.0,0.0,普元信息
688118,2023-05-30,22.38,23.02,22.03,23.02,122998300.0,0.0,普元信息
688118,2023-05-31,23.09,23.17,22.62,22.97,134293500.0,0.0,普元信息
688118,2023-06-01,23.01,24.15,22.7,23.78,264448200.0,0.0,普元信息
688118,2023-06-02,23.79,24.73,23.78,24.5,224388300.0,0.0,普元信息
688118,2023-06-05,24.4,24.76,24.1,24.66,190864900.0,0.0,普元信息
688118,2023-06-06,24.38,25.32,24.12,24.22,237456900.0,0.0,普元信息
688118,2023-06-07,24.56,25.41,24.13,25.4,204961300.0,0.0,普元信息
688118,2023-06-08,25.5,26.32,25.11,26.1,375610400.0,0.0,普元信息
688118,2023-06-09,26.01,31.32,26.01,31.32,988231100.0,0.0,普元信息
688118,2023-06-12,32.2,34.28,31.72,32.22,1243123700.0,0.0,普元信息
688118,2023-06-13,31.8,32.57,29.56,31.69,903510000.0,0.0,普元信息
688118,2023-06-14,31.41,33.6,31.13,32.0,803771000.0,0.0,普元信息
688118,2023-06-15,32.25,35.2,32.25,33.6,975227200.0,0.0,普元信息
688118,2023-06-16,33.33,35.5,33.1,33.59,804215500.0,0.0,普元信息
688118,2023-06-19,33.69,39.19,33.69,38.2,1140399000.0,0.0,普元信息
688118,2023-06-20,38.84,38.84,34.91,37.01,958472000.0,0.0,普元信息
688118,2023-06-21,35.91,35.93,33.9,34.0,715193500.0,0.0,普元信息
688118,2023-06-26,32.87,35.28,31.87,32.2,576220300.0,0.0,普元信息
688118,2023-06-27,32.08,32.6,31.5,32.2,343504600.0,0.0,普元信息
688118,2023-06-28,32.25,32.28,29.9,31.19,479825800.0,0.0,普元信息
688118,2023-06-29,31.05,33.49,30.5,32.74,542896000.0,0.0,普元信息
688118,2023-06-30,34.0,35.38,32.74,34.53,808348000.0,0.0,普元信息
688118,2023-07-03,34.78,35.0,32.51,33.65,628397400.0,0.0,普元信息
688118,2023-07-04,33.41,33.8,32.79,33.08,338657100.0,0.0,普元信息
688118,2023-07-05,33.2,34.0,32.24,32.37,230428800.0,0.0,普元信息
688118,2023-07-06,32.33,33.16,31.4,31.7,444444600.0,0.0,普元信息
688118,2023-07-07,31.31,32.26,30.24,31.27,341642300.0,0.0,普元信息
688118,2023-07-10,30.69,31.28,30.17,30.4,142450000.0,0.0,普元信息
688118,2023-07-11,30.4,30.75,29.9,30.03,154099100.0,0.0,普元信息
688118,2023-07-12,30.19,30.45,28.82,29.05,233047300.0,0.0,普元信息
688118,2023-07-13,29.18,29.18,28.4,28.86,177843400.0,0.0,普元信息
688118,2023-07-14,29.15,32.37,29.12,31.4,455330300.0,0.0,普元信息
688118,2023-07-17,31.2,31.45,30.08,30.3,209328600.0,0.0,普元信息
688118,2023-07-18,30.74,30.74,29.74,29.86,132511800.0,0.0,普元信息
688118,2023-07-19,33.0,33.58,29.25,29.52,384904700.0,0.0,普元信息
688118,2023-07-20,29.84,29.84,28.1,28.3,283735000.0,0.0,普元信息
688118,2023-07-21,28.8,28.8,27.8,28.07,123014200.0,0.0,普元信息
688118,2023-07-24,28.03,29.56,28.03,29.29,177288000.0,0.0,普元信息
688118,2023-07-25,29.2,29.6,28.39,28.97,159290700.0,0.0,普元信息
688118,2023-07-26,28.32,29.15,27.95,28.08,105827400.0,0.0,普元信息
688118,2023-07-27,28.01,28.14,27.0,27.18,145824100.0,0.0,普元信息
688118,2023-07-28,27.37,27.37,26.63,26.85,234539000.0,0.0,普元信息
688118,2023-07-31,27.05,27.1,26.26,26.41,205359200.0,0.0,普元信息
688118,2023-08-01,26.41,26.83,25.73,26.66,174782300.0,0.0,普元信息
688118,2023-08-02,26.63,26.87,26.3,26.47,81481300.0,0.0,普元信息
688118,2023-08-03,26.53,27.2,26.3,26.84,152640800.0,0.0,普元信息
688118,2023-08-04,26.88,28.24,26.68,27.88,169293600.0,0.0,普元信息
688118,2023-08-07,27.88,28.16,27.17,27.31,181132400.0,0.0,普元信息
688118,2023-08-08,27.31,28.3,26.86,27.43,224404400.0,0.0,普元信息
688118,2023-08-09,27.14,28.48,27.08,27.67,211312000.0,0.0,普元信息
688118,2023-08-10,27.6,28.18,27.42,27.72,110988500.0,0.0,普元信息
688118,2023-08-11,27.8,27.89,26.7,26.79,211355200.0,0.0,普元信息
688118,2023-08-14,26.4,28.56,26.04,28.25,271906900.0,0.0,普元信息
688118,2023-08-15,28.47,28.65,26.6,26.89,274693200.0,0.0,普元信息
688118,2023-08-16,27.07,27.45,26.13,26.45,230114600.0,0.0,普元信息
688118,2023-08-17,26.29,27.12,25.56,26.33,212328500.0,0.0,普元信息
688118,2023-08-18,26.39,27.6,26.0,26.01,209276000.0,0.0,普元信息
688118,2023-08-21,26.35,27.02,25.61,25.78,163870200.0,0.0,普元信息
688118,2023-08-22,26.34,28.58,26.22,27.56,336888400.0,0.0,普元信息
