code,date,open,high,low,close,volume,amount,name
000783,2023-05-23,5.92,5.95,5.85,5.85,20688600.0,0.0,长江证券
000783,2023-05-24,5.85,5.88,5.79,5.79,28202900.0,0.0,长江证券
000783,2023-05-25,5.78,5.84,5.75,5.82,21903000.0,0.0,长江证券
000783,2023-05-26,5.81,5.92,5.77,5.91,21000300.0,0.0,长江证券
000783,2023-05-29,5.92,6.12,5.9,5.98,45980800.0,0.0,长江证券
000783,2023-05-30,5.96,6.01,5.88,5.98,24774900.0,0.0,长江证券
000783,2023-05-31,5.99,6.02,5.96,6.01,23872100.0,0.0,长江证券
000783,2023-06-01,5.97,6.05,5.93,6.0,23674100.0,0.0,长江证券
000783,2023-06-02,6.01,6.02,5.97,6.0,18267500.0,0.0,长江证券
000783,2023-06-05,6.0,6.02,5.96,5.97,16056800.0,0.0,长江证券
000783,2023-06-06,5.96,6.06,5.92,5.92,26484000.0,0.0,长江证券
000783,2023-06-07,5.94,6.0,5.92,5.98,23848300.0,0.0,长江证券
000783,2023-06-08,5.97,6.06,5.91,6.04,30011900.0,0.0,长江证券
000783,2023-06-09,6.04,6.07,5.98,6.02,25549500.0,0.0,长江证券
000783,2023-06-12,6.02,6.09,5.98,6.04,29663600.0,0.0,长江证券
000783,2023-06-13,6.04,6.06,5.97,5.99,19865300.0,0.0,长江证券
000783,2023-06-14,6.02,6.07,5.96,6.0,20245100.0,0.0,长江证券
000783,2023-06-15,5.97,6.05,5.95,6.03,30307400.0,0.0,长江证券
000783,2023-06-16,6.03,6.06,6.01,6.03,23981100.0,0.0,长江证券
000783,2023-06-19,6.04,6.04,5.93,5.94,22740600.0,0.0,长江证券
000783,2023-06-20,5.95,5.96,5.91,5.91,13902500.0,0.0,长江证券
000783,2023-06-21,5.91,5.94,5.84,5.85,17414600.0,0.0,长江证券
000783,2023-06-26,5.82,5.83,5.72,5.74,23889700.0,0.0,长江证券
000783,2023-06-27,5.75,5.77,5.72,5.75,20904200.0,0.0,长江证券
000783,2023-06-28,5.76,5.81,5.71,5.8,23683500.0,0.0,长江证券
000783,2023-06-29,5.8,5.8,5.75,5.76,16485400.0,0.0,长江证券
000783,2023-06-30,5.76,5.86,5.75,5.8,21446100.0,0.0,长江证券
000783,2023-07-03,5.83,5.91,5.82,5.87,27986100.0,0.0,长江证券
000783,2023-07-04,5.86,5.88,5.82,5.85,16237600.0,0.0,长江证券
000783,2023-07-05,5.84,5.86,5.81,5.82,16297300.0,0.0,长江证券
000783,2023-07-06,5.82,5.84,5.76,5.78,21933800.0,0.0,长江证券
000783,2023-07-07,5.79,5.9,5.76,5.88,33642600.0,0.0,长江证券
000783,2023-07-10,5.9,5.94,5.86,5.91,22272600.0,0.0,长江证券
000783,2023-07-11,5.92,6.0,5.89,5.97,26781100.0,0.0,长江证券
000783,2023-07-12,5.97,6.0,5.91,5.93,20603300.0,0.0,长江证券
000783,2023-07-13,5.87,5.98,5.85,5.97,41196100.0,0.0,长江证券
000783,2023-07-14,5.98,6.01,5.94,5.98,23428400.0,0.0,长江证券
000783,2023-07-17,5.93,5.99,5.92,5.98,21797200.0,0.0,长江证券
000783,2023-07-18,5.99,6.12,5.95,6.06,38740900.0,0.0,长江证券
000783,2023-07-19,6.06,6.13,6.04,6.1,25962700.0,0.0,长江证券
000783,2023-07-20,6.1,6.11,6.02,6.04,23041500.0,0.0,长江证券
000783,2023-07-21,6.04,6.07,6.01,6.04,18645300.0,0.0,长江证券
000783,2023-07-24,6.03,6.12,6.01,6.06,18760500.0,0.0,长江证券
000783,2023-07-25,6.21,6.31,6.17,6.25,64399400.0,0.0,长江证券
000783,2023-07-26,6.25,6.29,6.19,6.24,34056100.0,0.0,长江证券
000783,2023-07-27,6.24,6.26,6.17,6.18,24301100.0,0.0,长江证券
000783,2023-07-28,6.17,6.62,6.16,6.58,118743500.0,0.0,长江证券
